"lsoa11cd","CAUTH18NM","lsoa11nm","GRP_CD","GRP_LABEL"
"E01010746","West Yorkshire","Bradford 060A",7,"Passive and Uncommitted Users"
"E01010747","West Yorkshire","Bradford 056B",7,"Passive and Uncommitted Users"
"E01010748","West Yorkshire","Bradford 056C",10,"e-Withdrawn"
"E01010749","West Yorkshire","Bradford 056D",7,"Passive and Uncommitted Users"
"E01010750","West Yorkshire","Bradford 060B",7,"Passive and Uncommitted Users"
"E01010751","West Yorkshire","Bradford 060C",7,"Passive and Uncommitted Users"
"E01010752","West Yorkshire","Bradford 058A",6,"e-Mainstream"
"E01010753","West Yorkshire","Bradford 058B",8,"Digital Seniors"
"E01010754","West Yorkshire","Bradford 058C",6,"e-Mainstream"
"E01010755","West Yorkshire","Bradford 055B",7,"Passive and Uncommitted Users"
"E01010756","West Yorkshire","Bradford 058D",6,"e-Mainstream"
"E01010758","West Yorkshire","Bradford 058E",3,"e-Veterans"
"E01010759","West Yorkshire","Bradford 058F",7,"Passive and Uncommitted Users"
"E01010760","West Yorkshire","Bradford 058G",3,"e-Veterans"
"E01010761","West Yorkshire","Bradford 049G",7,"Passive and Uncommitted Users"
"E01010762","West Yorkshire","Bradford 055C",7,"Passive and Uncommitted Users"
"E01010763","West Yorkshire","Bradford 055D",7,"Passive and Uncommitted Users"
"E01010764","West Yorkshire","Bradford 010C",5,"e-Rational Utilitarians"
"E01010765","West Yorkshire","Bradford 010D",8,"Digital Seniors"
"E01010766","West Yorkshire","Bradford 010E",5,"e-Rational Utilitarians"
"E01010767","West Yorkshire","Bradford 003A",5,"e-Rational Utilitarians"
"E01010768","West Yorkshire","Bradford 003B",3,"e-Veterans"
"E01010769","West Yorkshire","Bradford 003C",5,"e-Rational Utilitarians"
"E01010770","West Yorkshire","Bradford 005A",3,"e-Veterans"
"E01010771","West Yorkshire","Bradford 003D",5,"e-Rational Utilitarians"
"E01010772","West Yorkshire","Bradford 005B",5,"e-Rational Utilitarians"
"E01010773","West Yorkshire","Bradford 005C",3,"e-Veterans"
"E01010774","West Yorkshire","Bradford 005D",5,"e-Rational Utilitarians"
"E01010775","West Yorkshire","Bradford 024D",6,"e-Mainstream"
"E01010776","West Yorkshire","Bradford 021A",7,"Passive and Uncommitted Users"
"E01010777","West Yorkshire","Bradford 021B",10,"e-Withdrawn"
"E01010778","West Yorkshire","Bradford 024E",7,"Passive and Uncommitted Users"
"E01010779","West Yorkshire","Bradford 021C",7,"Passive and Uncommitted Users"
"E01010781","West Yorkshire","Bradford 021D",6,"e-Mainstream"
"E01010782","West Yorkshire","Bradford 020B",7,"Passive and Uncommitted Users"
"E01010783","West Yorkshire","Bradford 021E",7,"Passive and Uncommitted Users"
"E01010784","West Yorkshire","Bradford 018C",6,"e-Mainstream"
"E01010785","West Yorkshire","Bradford 018D",3,"e-Veterans"
"E01010786","West Yorkshire","Bradford 018E",3,"e-Veterans"
"E01010787","West Yorkshire","Bradford 020C",6,"e-Mainstream"
"E01010788","West Yorkshire","Bradford 020D",6,"e-Mainstream"
"E01010789","West Yorkshire","Bradford 025A",7,"Passive and Uncommitted Users"
"E01010790","West Yorkshire","Bradford 018F",6,"e-Mainstream"
"E01010791","West Yorkshire","Bradford 025B",7,"Passive and Uncommitted Users"
"E01010792","West Yorkshire","Bradford 025C",10,"e-Withdrawn"
"E01010793","West Yorkshire","Bradford 025D",7,"Passive and Uncommitted Users"
"E01010794","West Yorkshire","Bradford 043A",7,"Passive and Uncommitted Users"
"E01010795","West Yorkshire","Bradford 043B",6,"e-Mainstream"
"E01010796","West Yorkshire","Bradford 043C",7,"Passive and Uncommitted Users"
"E01010797","West Yorkshire","Bradford 043D",3,"e-Veterans"
"E01010798","West Yorkshire","Bradford 043E",6,"e-Mainstream"
"E01010799","West Yorkshire","Bradford 036C",7,"Passive and Uncommitted Users"
"E01010800","West Yorkshire","Bradford 036D",10,"e-Withdrawn"
"E01010801","West Yorkshire","Bradford 036E",7,"Passive and Uncommitted Users"
"E01010802","West Yorkshire","Bradford 036F",7,"Passive and Uncommitted Users"
"E01010803","West Yorkshire","Bradford 037A",10,"e-Withdrawn"
"E01010804","West Yorkshire","Bradford 033A",10,"e-Withdrawn"
"E01010805","West Yorkshire","Bradford 030D",7,"Passive and Uncommitted Users"
"E01010806","West Yorkshire","Bradford 033B",10,"e-Withdrawn"
"E01010807","West Yorkshire","Bradford 033C",10,"e-Withdrawn"
"E01010808","West Yorkshire","Bradford 033D",10,"e-Withdrawn"
"E01010809","West Yorkshire","Bradford 033E",10,"e-Withdrawn"
"E01010810","West Yorkshire","Bradford 037B",10,"e-Withdrawn"
"E01010811","West Yorkshire","Bradford 037C",10,"e-Withdrawn"
"E01010812","West Yorkshire","Bradford 041B",10,"e-Withdrawn"
"E01010813","West Yorkshire","Bradford 037D",10,"e-Withdrawn"
"E01010814","West Yorkshire","Bradford 057A",7,"Passive and Uncommitted Users"
"E01010815","West Yorkshire","Bradford 057B",6,"e-Mainstream"
"E01010816","West Yorkshire","Bradford 057C",6,"e-Mainstream"
"E01010817","West Yorkshire","Bradford 057D",10,"e-Withdrawn"
"E01010818","West Yorkshire","Bradford 057E",6,"e-Mainstream"
"E01010819","West Yorkshire","Bradford 052B",10,"e-Withdrawn"
"E01010820","West Yorkshire","Bradford 052C",10,"e-Withdrawn"
"E01010821","West Yorkshire","Bradford 052D",7,"Passive and Uncommitted Users"
"E01010822","West Yorkshire","Bradford 052E",10,"e-Withdrawn"
"E01010824","West Yorkshire","Bradford 034C",10,"e-Withdrawn"
"E01010825","West Yorkshire","Bradford 032C",6,"e-Mainstream"
"E01010826","West Yorkshire","Bradford 027D",10,"e-Withdrawn"
"E01010827","West Yorkshire","Bradford 032D",7,"Passive and Uncommitted Users"
"E01010828","West Yorkshire","Bradford 035A",7,"Passive and Uncommitted Users"
"E01010829","West Yorkshire","Bradford 035B",10,"e-Withdrawn"
"E01010830","West Yorkshire","Bradford 035C",10,"e-Withdrawn"
"E01010831","West Yorkshire","Bradford 035D",10,"e-Withdrawn"
"E01010832","West Yorkshire","Bradford 035E",10,"e-Withdrawn"
"E01010833","West Yorkshire","Bradford 041C",10,"e-Withdrawn"
"E01010834","West Yorkshire","Bradford 044A",1,"e-Cultural Creators"
"E01010835","West Yorkshire","Bradford 044B",10,"e-Withdrawn"
"E01010836","West Yorkshire","Bradford 044C",4,"Youthful Urban Fringe"
"E01010837","West Yorkshire","Bradford 044D",10,"e-Withdrawn"
"E01010838","West Yorkshire","Bradford 044E",10,"e-Withdrawn"
"E01010839","West Yorkshire","Bradford 044F",10,"e-Withdrawn"
"E01010840","West Yorkshire","Bradford 034D",10,"e-Withdrawn"
"E01010841","West Yorkshire","Bradford 034E",10,"e-Withdrawn"
"E01010842","West Yorkshire","Bradford 039E",10,"e-Withdrawn"
"E01010843","West Yorkshire","Bradford 041D",10,"e-Withdrawn"
"E01010845","West Yorkshire","Bradford 059B",10,"e-Withdrawn"
"E01010846","West Yorkshire","Bradford 055E",7,"Passive and Uncommitted Users"
"E01010847","West Yorkshire","Bradford 054A",7,"Passive and Uncommitted Users"
"E01010848","West Yorkshire","Bradford 054B",7,"Passive and Uncommitted Users"
"E01010849","West Yorkshire","Bradford 059C",8,"Digital Seniors"
"E01010850","West Yorkshire","Bradford 059D",7,"Passive and Uncommitted Users"
"E01010851","West Yorkshire","Bradford 059E",6,"e-Mainstream"
"E01010852","West Yorkshire","Bradford 054C",10,"e-Withdrawn"
"E01010853","West Yorkshire","Bradford 054D",6,"e-Mainstream"
"E01010854","West Yorkshire","Bradford 023A",6,"e-Mainstream"
"E01010855","West Yorkshire","Bradford 023B",5,"e-Rational Utilitarians"
"E01010856","West Yorkshire","Bradford 023C",6,"e-Mainstream"
"E01010857","West Yorkshire","Bradford 023D",5,"e-Rational Utilitarians"
"E01010858","West Yorkshire","Bradford 023E",3,"e-Veterans"
"E01010859","West Yorkshire","Bradford 012E",8,"Digital Seniors"
"E01010860","West Yorkshire","Bradford 014B",5,"e-Rational Utilitarians"
"E01010861","West Yorkshire","Bradford 023F",5,"e-Rational Utilitarians"
"E01010862","West Yorkshire","Bradford 014C",6,"e-Mainstream"
"E01010863","West Yorkshire","Bradford 014D",6,"e-Mainstream"
"E01010864","West Yorkshire","Bradford 059F",7,"Passive and Uncommitted Users"
"E01010865","West Yorkshire","Bradford 060D",6,"e-Mainstream"
"E01010866","West Yorkshire","Bradford 060E",6,"e-Mainstream"
"E01010867","West Yorkshire","Bradford 059G",7,"Passive and Uncommitted Users"
"E01010868","West Yorkshire","Bradford 061A",7,"Passive and Uncommitted Users"
"E01010869","West Yorkshire","Bradford 061B",7,"Passive and Uncommitted Users"
"E01010870","West Yorkshire","Bradford 061C",8,"Digital Seniors"
"E01010871","West Yorkshire","Bradford 061D",6,"e-Mainstream"
"E01010872","West Yorkshire","Bradford 061E",7,"Passive and Uncommitted Users"
"E01010873","West Yorkshire","Bradford 061F",8,"Digital Seniors"
"E01010874","West Yorkshire","Bradford 059H",10,"e-Withdrawn"
"E01010875","West Yorkshire","Calderdale 019A",5,"e-Rational Utilitarians"
"E01010876","West Yorkshire","Calderdale 019B",6,"e-Mainstream"
"E01010877","West Yorkshire","Calderdale 019C",7,"Passive and Uncommitted Users"
"E01010878","West Yorkshire","Calderdale 015A",6,"e-Mainstream"
"E01010879","West Yorkshire","Calderdale 015B",5,"e-Rational Utilitarians"
"E01010880","West Yorkshire","Calderdale 019D",7,"Passive and Uncommitted Users"
"E01010881","West Yorkshire","Calderdale 004A",3,"e-Veterans"
"E01010882","West Yorkshire","Calderdale 004B",5,"e-Rational Utilitarians"
"E01010883","West Yorkshire","Calderdale 004C",3,"e-Veterans"
"E01010884","West Yorkshire","Calderdale 022A",8,"Digital Seniors"
"E01010885","West Yorkshire","Calderdale 022B",5,"e-Rational Utilitarians"
"E01010886","West Yorkshire","Calderdale 022C",8,"Digital Seniors"
"E01010887","West Yorkshire","Calderdale 004D",3,"e-Veterans"
"E01010888","West Yorkshire","Calderdale 004E",3,"e-Veterans"
"E01010889","West Yorkshire","Calderdale 025A",10,"e-Withdrawn"
"E01010890","West Yorkshire","Calderdale 025B",6,"e-Mainstream"
"E01010891","West Yorkshire","Calderdale 024A",7,"Passive and Uncommitted Users"
"E01010892","West Yorkshire","Calderdale 024B",6,"e-Mainstream"
"E01010893","West Yorkshire","Calderdale 025C",7,"Passive and Uncommitted Users"
"E01010894","West Yorkshire","Calderdale 025D",7,"Passive and Uncommitted Users"
"E01010895","West Yorkshire","Calderdale 024C",7,"Passive and Uncommitted Users"
"E01010896","West Yorkshire","Calderdale 026A",3,"e-Veterans"
"E01010897","West Yorkshire","Calderdale 026B",5,"e-Rational Utilitarians"
"E01010898","West Yorkshire","Calderdale 026C",6,"e-Mainstream"
"E01010899","West Yorkshire","Calderdale 026D",6,"e-Mainstream"
"E01010900","West Yorkshire","Calderdale 026E",5,"e-Rational Utilitarians"
"E01010901","West Yorkshire","Calderdale 025E",6,"e-Mainstream"
"E01010902","West Yorkshire","Calderdale 026F",8,"Digital Seniors"
"E01010903","West Yorkshire","Calderdale 025F",8,"Digital Seniors"
"E01010904","West Yorkshire","Calderdale 011A",5,"e-Rational Utilitarians"
"E01010905","West Yorkshire","Calderdale 015C",5,"e-Rational Utilitarians"
"E01010906","West Yorkshire","Calderdale 011B",5,"e-Rational Utilitarians"
"E01010907","West Yorkshire","Calderdale 011C",5,"e-Rational Utilitarians"
"E01010908","West Yorkshire","Calderdale 015D",6,"e-Mainstream"
"E01010909","West Yorkshire","Calderdale 011D",6,"e-Mainstream"
"E01010910","West Yorkshire","Calderdale 015E",7,"Passive and Uncommitted Users"
"E01010911","West Yorkshire","Calderdale 001A",5,"e-Rational Utilitarians"
"E01010912","West Yorkshire","Calderdale 001B",7,"Passive and Uncommitted Users"
"E01010913","West Yorkshire","Calderdale 001C",8,"Digital Seniors"
"E01010914","West Yorkshire","Calderdale 002A",7,"Passive and Uncommitted Users"
"E01010915","West Yorkshire","Calderdale 001D",6,"e-Mainstream"
"E01010916","West Yorkshire","Calderdale 005A",7,"Passive and Uncommitted Users"
"E01010917","West Yorkshire","Calderdale 007A",5,"e-Rational Utilitarians"
"E01010918","West Yorkshire","Calderdale 007B",5,"e-Rational Utilitarians"
"E01010919","West Yorkshire","Calderdale 007C",8,"Digital Seniors"
"E01010920","West Yorkshire","Calderdale 007D",5,"e-Rational Utilitarians"
"E01010921","West Yorkshire","Calderdale 007E",8,"Digital Seniors"
"E01010922","West Yorkshire","Calderdale 020A",6,"e-Mainstream"
"E01010923","West Yorkshire","Calderdale 004F",3,"e-Veterans"
"E01010924","West Yorkshire","Calderdale 002B",10,"e-Withdrawn"
"E01010925","West Yorkshire","Calderdale 002C",7,"Passive and Uncommitted Users"
"E01010926","West Yorkshire","Calderdale 002D",10,"e-Withdrawn"
"E01010927","West Yorkshire","Calderdale 009A",8,"Digital Seniors"
"E01010928","West Yorkshire","Calderdale 009B",7,"Passive and Uncommitted Users"
"E01010929","West Yorkshire","Calderdale 010A",7,"Passive and Uncommitted Users"
"E01010930","West Yorkshire","Calderdale 010B",10,"e-Withdrawn"
"E01010931","West Yorkshire","Calderdale 003A",8,"Digital Seniors"
"E01010932","West Yorkshire","Calderdale 003B",8,"Digital Seniors"
"E01010933","West Yorkshire","Calderdale 003C",5,"e-Rational Utilitarians"
"E01010934","West Yorkshire","Calderdale 008A",8,"Digital Seniors"
"E01010935","West Yorkshire","Calderdale 003D",8,"Digital Seniors"
"E01010936","West Yorkshire","Calderdale 003E",5,"e-Rational Utilitarians"
"E01010937","West Yorkshire","Calderdale 003F",5,"e-Rational Utilitarians"
"E01010938","West Yorkshire","Calderdale 006A",10,"e-Withdrawn"
"E01010939","West Yorkshire","Calderdale 005B",6,"e-Mainstream"
"E01010940","West Yorkshire","Calderdale 006B",7,"Passive and Uncommitted Users"
"E01010941","West Yorkshire","Calderdale 005C",7,"Passive and Uncommitted Users"
"E01010942","West Yorkshire","Calderdale 005D",7,"Passive and Uncommitted Users"
"E01010943","West Yorkshire","Calderdale 006C",10,"e-Withdrawn"
"E01010944","West Yorkshire","Calderdale 005E",10,"e-Withdrawn"
"E01010945","West Yorkshire","Calderdale 024D",8,"Digital Seniors"
"E01010946","West Yorkshire","Calderdale 023A",5,"e-Rational Utilitarians"
"E01010947","West Yorkshire","Calderdale 023B",5,"e-Rational Utilitarians"
"E01010948","West Yorkshire","Calderdale 024E",7,"Passive and Uncommitted Users"
"E01010949","West Yorkshire","Calderdale 019E",6,"e-Mainstream"
"E01010950","West Yorkshire","Calderdale 023C",7,"Passive and Uncommitted Users"
"E01010951","West Yorkshire","Calderdale 023D",8,"Digital Seniors"
"E01010952","West Yorkshire","Calderdale 027A",5,"e-Rational Utilitarians"
"E01010953","West Yorkshire","Calderdale 027B",5,"e-Rational Utilitarians"
"E01010954","West Yorkshire","Calderdale 027C",3,"e-Veterans"
"E01010955","West Yorkshire","Calderdale 027D",3,"e-Veterans"
"E01010956","West Yorkshire","Calderdale 020B",5,"e-Rational Utilitarians"
